6733, 21, 15, 87, 20, 31, 15, 15, 106, 123, 28, 26, 13, 101, 41, 67, 14, 21, 130, 182, 78, 14, 9, 25, 7, 41,Success dog deer 21
6733, 13, 11, 137, 177, 85, 19, 14, 82, 77, 22, 11, 9, 108, 49, 25, 12, 7, 99, 7, 30, 14, 9, 69, 21, 50,Success dog frog 58
6733, 8, 11, 114, 24, 129, 15, 11, 165, 15, 110, 3, 11, 253, 37, 124, 15, 10, 71, 180, 148, 18, 14, 65, 24, 150,Success dog horse 37
6733, 14, 9, 47, 91, 97, 22, 15, 51, 0, 0, 15, 15, 145, 209, 76, 17, 14, 44, 18, 147, 9, 20, 213, 30, 36,Fail dog ship
6733, 18, 13, 103, 4, 50, 15, 10, 143, 252, 6, 23, 20, 98, 243, 134, 19, 17, 99, 19, 108, 8, 12, 242, 1, 47,Fail dog truck
9577, 14, 5, 187, 192, 189, 24, 1, 161, 73, 46, 10, 6, 71, 98, 12, 6, 7, 111, 67, 24, 20, 30, 81, 22, 45,Fail airplane automobile
9577, 5, 8, 73, 150, 153, 13, 7, 205, 239, 34, 12, 10, 96, 17, 92, 16, 26, 97, 28, 80, 14, 9, 10, 75, 80,Success airplane bird 53
9577, 10, 13, 22, 213, 30, 12, 14, 110, 42, 18, 16, 7, 171, 23, 33, 11, 19, 57, 30, 52, 9, 31, 201, 62, 29,Success airplane cat 24
9577, 10, 11, 50, 0, 36, 10, 16, 40, 165, 117, 14, 8, 4, 54, 8, 14, 18, 99, 9, 179, 8, 22, 169, 159, 89,Success airplane deer 38
9577, 10, 0, 157, 88, 161, 11, 16, 51, 59, 41, 18, 25, 116, 161, 216, 11, 9, 28, 13, 19, 15, 4, 43, 19, 157,Success airplane dog 66
9577, 13, 8, 1, 41, 23, 10, 11, 161, 48, 131, 11, 15, 62, 2, 177, 18, 8, 225, 96, 110, 10, 6, 33, 1, 44,Fail airplane frog
9577, 6, 16, 83, 50, 29, 15, 12, 59, 20, 1, 21, 25, 98, 136, 92, 10, 16, 4, 38, 82, 8, 5, 111, 13, 16,Success airplane horse 94
